snippet,intent
windows_proactor_event_loop_policy.remove_child_handler(pid),Removes the handler for process with PID equal to `pid` .
IMAP4.debug,Integer value to control debugging output.
"bdb.Breakpoint(self, file, line)","This class implements `temporary` breakpoints , ignore counts , disabling and ( re- ) enabling , and conditionals . Breakpoints are indexed by number through a list called bpbynumber and by ( `file` , `line` ) pairs through bplist . With arguments `self`."
"gzip.compress(data, compresslevel=9)","Compress the `data` , returning a bytes object containing the compressed data . `compresslevel` has the same meaning as in the GzipFile constructor above ."
"Pattern.sub(repl, string)","Identical to the sub ( ) function , using the compiled pattern . With arguments `repl`, `string`."
"io_base.seek(offset, whence=SEEK_SET)",Change the stream position to the given byte `offset` . offset is interpreted relative to the position indicated by `whence` .
"DatagramTransport.sendto(data, addr=None)",Send the `data` bytes to the remote peer given by `addr` ( a transport-dependent target address ) .
exit_stack.enter_context(cm),Enters a new context manager and adds its __exit__ ( ) method to the callback stack . With arguments `cm`.
"bisect.bisect_left(a, x, lo=0, hi=len(a))",Locate the insertion point for `x` in `a` to maintain sorted order . The parameters `lo` and `hi` may be used to specify a subset of the list which should be considered ; by default the entire list is used .
inspect.cleandoc(doc),Clean up indentation from docstrings that are indented to line up with blocks of code . With arguments `doc`.
encodings.idna.nameprep(label),Return the nameprepped version of `label` .
"signature.bind(*args, **kwargs)","Create a mapping from positional and keyword arguments to parameters . Returns BoundArguments if `*args` and `**kwargs` match the signature , or raises a TypeError ."
imaplib.IMAP4_stream(command),This is a subclass derived from IMAP4 that connects to the stdin/stdout file descriptors created by passing `command` to subprocess.Popen ( ) .
"ZipFile.open(name, mode='r', pwd=None)","Access a member of the archive as a binary file-like object . `name` can be either the name of a file within the archive or a ZipInfo object . The `mode` parameter , if included , must be ' r ' ( the default ) or ' w ' . `pwd` is the password used to decrypt encrypted ZIP files ."
readline.set_auto_history(enabled),"Enable or disable automatic calls to add_history ( ) when reading input via readline . The `enabled` argument should be a Boolean value that when true , enables auto history , and that when false , disables auto history ."
"bdb.Breakpoint(self, file, line)","This class implements `temporary` breakpoints , ignore counts , disabling and ( re- ) enabling , and conditionals . Breakpoints are indexed by number through a list called bpbynumber and by ( `file` , `line` ) pairs through bplist . With arguments `self`."
base64.decodestring(s),Deprecated alias of decodebytes ( ) . With arguments `s`.
SummaryInformation.GetProperty(field),"Return a property of the summary , through MsiSummaryInfoGetProperty ( ) . `field` is the name of the property , and can be one of the constants PID_CODEPAGE , PID_TITLE , PID_SUBJECT , PID_AUTHOR , PID_KEYWORDS , PID_COMMENTS , PID_TEMPLATE , PID_LASTAUTHOR , PID_REVNUMBER , PID_LASTPRINTED , PID_CREATE_DTM , PID_LASTSAVE_DTM , PID_PAGECOUNT , PID_WORDCOUNT , PID_CHARCOUNT , PID_APPNAME , or PID_SECURITY ."
context[var],Return the value of the var ContextVar variable.
"joinable_queue.send_bytes(buffer, offset, size)",Send byte data from a bytes-like object as a complete message . If `offset` is given then data is read from that position in `buffer` . If `size` is given then that many bytes will be read from buffer .
mmap.find(sub),"Returns the lowest index in the object where the subsequence `sub` is found , such that sub is contained in the range [ `start` , `end` ] ."
"winsound.Beep(frequency, duration)","Beep the PC ’ s speaker . The `frequency` parameter specifies frequency , in hertz , of the sound , and must be in the range 37 through 32,767 . The `duration` parameter specifies the number of milliseconds the sound should last ."
pstats.Stats(*filenames or profile),This class constructor creates an instance of a “ statistics object ” from a filename ( or list of filenames ) or from a Profile instance . With arguments `*filenames or profile`.
"IMAP4.setacl(mailbox, who, what)","Set an ACL for `mailbox` . With arguments `who`, `what`."
doctest.testmod(report=True),"All arguments are optional , and all except for `m` should be specified in keyword form . Optional arguments `extraglobs` , `verbose` , `report` , `optionflags` , `raise_on_error` , and `globs` are the same as for function testfile ( ) above , except that globs defaults to m.__dict__ ."
str(),Return a str version of `object` .
platform.architecture(bits=''),"Queries the given `executable` ( defaults to the Python interpreter binary ) for various architecture information . Returns a tuple ( `bits` , `linkage` ) which contain information about the bit architecture and the linkage format used for the executable ."
sorted(iterable),Return a new sorted list from the items in `iterable` .
str.partition(sep),"Split the string at the first occurrence of `sep` , and return a 3-tuple containing the part before the separator , the separator itself , and the part after the separator ."
"str.replace(old, new, count)","Return a copy of the string with all occurrences of substring `old` replaced by `new` . If the optional argument `count` is given , only the first count occurrences are replaced ."
